date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:13	87553/87553	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2008%20Aug%202024%2020:43:15%20GMT	https://gh.usembassy.gov/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-includes/js/jquery/jquery.minf43b.js	(from https://gh.usembassy.gov/)
15:03:15	13577/13577	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2008%20Aug%202024%2020:43:15%20GMT	https://gh.usembassy.gov/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://gh.usembassy.gov/)
15:03:15	9066/9066	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2008%20Aug%202024%2020:43:19%20GMT	https://gh.usembassy.gov/wp-content/themes/cms3/wp-advanced-search-master/js/scripts.js?ver=1	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/themes/cms3/wp-advanced-search-master/js/scripts68b3.js	(from https://gh.usembassy.gov/)
15:03:16	11084/11084	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2008%20Aug%202024%2020:43:19%20GMT	https://gh.usembassy.gov/wp-content/themes/cms3/dist/scripts/modernizr-2cd3c0e8.js?ver=1.0.0	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/themes/cms3/dist/scripts/modernizr-2cd3c0e88a54.js	(from https://gh.usembassy.gov/)
15:03:17	6559/6559	---MCZ	200	added ('OK')	application/json	date:Sun,%2018%20Aug%202024%2014:03:17%20GMT	https://gh.usembassy.gov/wp-json/wp/v2/pages/482	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-json/wp/v2/pages/482.json	(from https://gh.usembassy.gov/)
15:03:17	298563/298563	---MCZ	200	added ('OK')	application/json	date:Sun,%2018%20Aug%202024%2014:03:17%20GMT	https://gh.usembassy.gov/wp-json/	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-json/index.html	(from https://gh.usembassy.gov/)
15:03:18	188871/188871	---M--	200	added ('OK')	text/html	etag:%226baaae40e47bf7d2b88aff70c7f060d4%22	https://gh.usembassy.gov/xmlrpc.php?rsd	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/xmlrpc0db0.html	(from https://gh.usembassy.gov/)
15:03:18	115/115	---M--	400	error ('Bad%20Request')	application/json	date:Sun,%2018%20Aug%202024%2014:03:19%20GMT	https://gh.usembassy.gov/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fgh.usembassy.gov%2F	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-json/oembed/1.0/embed51b4	(from https://gh.usembassy.gov/)
15:03:19	115/115	---M--	400	error ('Bad%20Request')	application/json	date:Sun,%2018%20Aug%202024%2014:03:20%20GMT	https://gh.usembassy.gov/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fgh.usembassy.gov%2F&format=xml	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-json/oembed/1.0/embed6bff	(from https://gh.usembassy.gov/)
15:03:32	7913/7913	---MC-	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2020:43:19%20GMT	https://gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/apple-icon-57x57.png	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/apple-icon-57x57.png	(from https://gh.usembassy.gov/)
15:03:32	8599/8599	---MC-	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2020:43:19%20GMT	https://gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/apple-icon-60x60.png	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/apple-icon-60x60.png	(from https://gh.usembassy.gov/)
15:03:32	11571/11571	---MC-	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2020:43:19%20GMT	https://gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/apple-icon-72x72.png	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/apple-icon-72x72.png	(from https://gh.usembassy.gov/)
15:03:33	12585/12585	---MC-	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2020:43:19%20GMT	https://gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/apple-icon-76x76.png	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/apple-icon-76x76.png	(from https://gh.usembassy.gov/)
